,ImageID,predict_bbox,gt_bbox,IoU_threshold,T,P,IoU,ap,mAP
0,Y2BB_extracted_dataset/train_for_test_medium/15+-6-4soyVvC4+01+0039000+1.jpg,"[{'x1': 256, 'x2': 320, 'y1': 160, 'y2': 224, 'class': 'train', 'prob': 0.7153455}]","[{'class': 'train', 'x1': 213.6, 'x2': 281.76000000000005, 'y1': 132.6000024, 'y2': 194.4, 'bbox_matched': True}]",0.5,"{'train': [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]}","{'train': [0.7153455, 0, 0, 0, 0.5752647, 0, 0, 0, 0.8270487, 0, 0, 0.8623605, 0, 0.91637886, 0, 0.9096282, 0, 0, 0, 0, 0]}",0.7290923655645233,[1.0],1.0
1,Y2BB_extracted_dataset/train_for_test_medium/15+-hj2q9utBhs+02+0036000+1.jpg,[],"[{'class': 'train', 'x1': 175.67999999999998, 'x2': 310.71999999999997, 'y1': 126.39999359999999, 'y2': 153.6, 'bbox_matched': False}]",0.5,"{'train': [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]}","{'train': [0.7153455, 0, 0, 0, 0.5752647, 0, 0, 0, 0.8270487, 0, 0, 0.8623605, 0, 0.91637886, 0, 0.9096282, 0, 0, 0, 0, 0]}",0.0,[1.0],1.0
2,Y2BB_extracted_dataset/train_for_test_medium/15+-yMI3k70zIU+00+0019000+1.jpg,[],"[{'class': 'train', 'x1': 269.76000000000005, 'x2': 341.76000000000005, 'y1': 93.60000000000001, 'y2': 142.8000048, 'bbox_matched': False}]",0.5,"{'train': [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]}","{'train': [0.7153455, 0, 0, 0, 0.5752647, 0, 0, 0, 0.8270487, 0, 0, 0.8623605, 0, 0.91637886, 0, 0.9096282, 0, 0, 0, 0, 0]}",0.0,[1.0],1.0
3,Y2BB_extracted_dataset/train_for_test_medium/15+0DwhUrmEAws+00+0076000+1.jpg,[],"[{'class': 'train', 'x1': 276.48, 'x2': 317.76, 'y1': 168.5999988, 'y2': 198.00000000000003, 'bbox_matched': False}]",0.5,"{'train': [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]}","{'train': [0.7153455, 0, 0, 0, 0.5752647, 0, 0, 0, 0.8270487, 0, 0, 0.8623605, 0, 0.91637886, 0, 0.9096282, 0, 0, 0, 0, 0]}",0.0,[1.0],1.0
4,Y2BB_extracted_dataset/train_for_test_medium/15+16XQgOKblqs+01+0143000+1.jpg,"[{'x1': 352, 'x2': 544, 'y1': 160, 'y2': 288, 'class': 'train', 'prob': 0.5752647}]","[{'class': 'train', 'x1': 190.72, 'x2': 315.2, 'y1': 86.39999999999999, 'y2': 146.000004, 'bbox_matched': True}]",0.5,"{'train': [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]}","{'train': [0.7153455, 0, 0, 0, 0.5752647, 0, 0, 0, 0.8270487, 0, 0, 0.8623605, 0, 0.91637886, 0, 0.9096282, 0, 0, 0, 0, 0]}",0.6167949775212551,[1.0],1.0
5,Y2BB_extracted_dataset/train_for_test_medium/15+1_xfocbatMQ+01+0029000+1.jpg,[],"[{'class': 'train', 'x1': 253.44, 'x2': 319.67999999999995, 'y1': 100.80000000000001, 'y2': 146.4000012, 'bbox_matched': False}]",0.5,"{'train': [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]}","{'train': [0.7153455, 0, 0, 0, 0.5752647, 0, 0, 0, 0.8270487, 0, 0, 0.8623605, 0, 0.91637886, 0, 0.9096282, 0, 0, 0, 0, 0]}",0.0,[1.0],1.0
6,Y2BB_extracted_dataset/train_for_test_medium/15+1e8KB4IqkpA+05+0335000+1.jpg,[],"[{'class': 'train', 'x1': 118.08000000000001, 'x2': 193.92, 'y1': 203.39999999999998, 'y2': 313.8000012, 'bbox_matched': False}]",0.5,"{'train': [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]}","{'train': [0.7153455, 0, 0, 0, 0.5752647, 0, 0, 0, 0.8270487, 0, 0, 0.8623605, 0, 0.91637886, 0, 0.9096282, 0, 0, 0, 0, 0]}",0.0,[1.0],1.0
7,Y2BB_extracted_dataset/train_for_test_medium/15+1n_jnfJVPzs+00+0012000+1.jpg,[],"[{'class': 'train', 'x1': 166.4, 'x2': 258.56, 'y1': 137.59999200000001, 'y2': 208.8, 'bbox_matched': False}]",0.5,"{'train': [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]}","{'train': [0.7153455, 0, 0, 0, 0.5752647, 0, 0, 0, 0.8270487, 0, 0, 0.8623605, 0, 0.91637886, 0, 0.9096282, 0, 0, 0, 0, 0]}",0.0,[1.0],1.0
8,Y2BB_extracted_dataset/train_for_test_medium/15+1n_jnfJVPzs+00+0013000+1.jpg,"[{'x1': 48, 'x2': 576, 'y1': 96, 'y2': 384, 'class': 'train', 'prob': 0.8270487}]","[{'class': 'train', 'x1': 143.35999999999999, 'x2': 239.68000000000004, 'y1': 138.799992, 'y2': 210.4000008, 'bbox_matched': False}]",0.5,"{'train': [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]}","{'train': [0.7153455, 0, 0, 0, 0.5752647, 0, 0, 0, 0.8270487, 0, 0, 0.8623605, 0, 0.91637886, 0, 0.9096282, 0, 0, 0, 0, 0]}",0.13609589144538872,[0.8296296296296297],0.8296296296296297
9,Y2BB_extracted_dataset/train_for_test_medium/15+1tIKB6FZ5bY+00+0059000+1.jpg,[],"[{'class': 'train', 'x1': 202.56000000000003, 'x2': 255.83999999999997, 'y1': 120.00000239999999, 'y2': 198.600012, 'bbox_matched': False}]",0.5,"{'train': [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]}","{'train': [0.7153455, 0, 0, 0, 0.5752647, 0, 0, 0, 0.8270487, 0, 0, 0.8623605, 0, 0.91637886, 0, 0.9096282, 0, 0, 0, 0, 0]}",0.0,[0.843939393939394],0.843939393939394
10,Y2BB_extracted_dataset/train_for_test_medium/15+235NI9CNNYs+00+0020000+1.jpg,"[{'x1': 48, 'x2': 480, 'y1': 0, 'y2': 208, 'class': 'train', 'prob': 0.8623605}]","[{'class': 'train', 'x1': 14.399999999999999, 'x2': 122.24000000000001, 'y1': 69.1999992, 'y2': 109.6000032, 'bbox_matched': False}]",0.5,"{'train': [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]}","{'train': [0.7153455, 0, 0, 0, 0.5752647, 0, 0, 0, 0.8270487, 0, 0, 0.8623605, 0, 0.91637886, 0, 0.9096282, 0, 0, 0, 0, 0]}",0.1252665871184661,[0.768065268065268],0.768065268065268
11,Y2BB_extracted_dataset/train_for_test_medium/15+235NI9CNNYs+00+0024000+1.jpg,"[{'x1': 32, 'x2': 496, 'y1': 16, 'y2': 256, 'class': 'train', 'prob': 0.91637886}]","[{'class': 'train', 'x1': 16.32, 'x2': 120.0, 'y1': 68.39999999999999, 'y2': 111.60000000000001, 'bbox_matched': False}]",0.5,"{'train': [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]}","{'train': [0.7153455, 0, 0, 0, 0.5752647, 0, 0, 0, 0.8270487, 0, 0, 0.8623605, 0, 0.91637886, 0, 0.9096282, 0, 0, 0, 0, 0]}",0.11787980117699061,[0.7208333333333334],0.7208333333333334
12,Y2BB_extracted_dataset/train_for_test_medium/15+235NI9CNNYs+00+0030000+1.jpg,"[{'x1': 96, 'x2': 544, 'y1': 48, 'y2': 256, 'class': 'train', 'prob': 0.9096282}]","[{'class': 'train', 'x1': 34.88, 'x2': 128.32, 'y1': 80.4, 'y2': 128.800008, 'bbox_matched': False}]",0.5,"{'train': [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]}","{'train': [0.7153455, 0, 0, 0, 0.5752647, 0, 0, 0, 0.8270487, 0, 0, 0.8623605, 0, 0.91637886, 0, 0.9096282, 0, 0, 0, 0, 0]}",0.11004768321102198,[0.6880844645550528],0.6880844645550528
13,Y2BB_extracted_dataset/train_for_test_medium/15+28DJ1IafNdA+03+0364000+1.jpg,[],"[{'class': 'train', 'x1': 254.88000000000002, 'x2': 308.16, 'y1': 167.4, 'y2': 216.600012, 'bbox_matched': False}]",0.5,"{'train': [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]}","{'train': [0.7153455, 0, 0, 0, 0.5752647, 0, 0, 0, 0.8270487, 0, 0, 0.8623605, 0, 0.91637886, 0, 0.9096282, 0, 0, 0, 0, 0]}",0.0,[0.7047619047619048],0.7047619047619048
14,Y2BB_extracted_dataset/train_for_test_medium/15+2Oau4Ai7QJc+01+0045000+1.jpg,[],"[{'class': 'train', 'x1': 0.0, 'x2': 43.199999999999996, 'y1': 61.2, 'y2': 176.4, 'bbox_matched': False}]",0.5,"{'train': [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]}","{'train': [0.7153455, 0, 0, 0, 0.5752647, 0, 0, 0, 0.8270487, 0, 0, 0.8623605, 0, 0.91637886, 0, 0.9096282, 0, 0, 0, 0, 0]}",0.0,[0.719766081871345],0.719766081871345
15,Y2BB_extracted_dataset/train_for_test_medium/15+306to7SV1Tc+00+0240000+1.jpg,[],"[{'class': 'train', 'x1': 170.03, 'x2': 253.82000000000002, 'y1': 155.4000012, 'y2': 221.4, 'bbox_matched': False}]",0.5,"{'train': [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]}","{'train': [0.7153455, 0, 0, 0, 0.5752647, 0, 0, 0, 0.8270487, 0, 0, 0.8623605, 0, 0.91637886, 0, 0.9096282, 0, 0, 0, 0, 0]}",0.0,[0.7333333333333334],0.7333333333333334
16,Y2BB_extracted_dataset/train_for_test_medium/15+3T1_hat2TUg+06+0351000+1.jpg,[],"[{'class': 'train', 'x1': 244.32, 'x2': 350.88, 'y1': 165.0000024, 'y2': 212.39999999999998, 'bbox_matched': False}]",0.5,"{'train': [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]}","{'train': [0.7153455, 0, 0, 0, 0.5752647, 0, 0, 0, 0.8270487, 0, 0, 0.8623605, 0, 0.91637886, 0, 0.9096282, 0, 0, 0, 0, 0]}",0.0,[0.7456582633053221],0.7456582633053221
